Date,Open,High,Low,Close,Adj Close,Volume
2020-06-10,7328.0,7445.0,7167.0,7247.0,7247.0,203548
2020-06-11,7167.0,7210.0,6901.0,7062.0,7062.0,262358
2020-06-14,6940.0,6961.0,6903.0,6920.0,6920.0,69845
2020-06-15,6798.0,6885.0,6712.0,6872.0,6872.0,180245
2020-06-16,7100.0,7246.0,7042.0,7228.0,7228.0,285583
2020-06-17,7086.0,7112.0,7018.0,7039.0,7039.0,166710
2020-06-18,7000.0,7058.0,6951.0,7058.0,7058.0,227558
2020-06-21,6750.0,6750.0,6621.0,6642.0,6642.0,159691
2020-06-22,6700.0,6775.0,6627.0,6769.0,6769.0,247217
2020-06-23,6785.0,6961.0,6746.0,6899.0,6899.0,244052
2020-06-24,6920.0,6920.0,6681.0,6696.0,6696.0,199480
2020-06-25,6568.0,6600.0,6442.0,6517.0,6517.0,300141
2020-06-28,6350.0,6350.0,6233.0,6234.0,6234.0,56435
2020-06-29,6290.0,6371.0,6203.0,6356.0,6356.0,171216
2020-06-30,6480.0,6660.0,6443.0,6606.0,6606.0,210868
2020-07-01,6606.0,6636.0,6476.0,6636.0,6636.0,230312
2020-07-02,6636.0,6688.0,6543.0,6675.0,6675.0,240236
2020-07-05,6535.0,6541.0,6486.0,6497.0,6497.0,35319
2020-07-06,6600.0,6705.0,6555.0,6705.0,6705.0,279421
2020-07-07,6850.0,6889.0,6799.0,6880.0,6880.0,206064
2020-07-08,6812.0,7052.0,6812.0,7011.0,7011.0,270342
2020-07-09,7008.0,7024.0,6911.0,6961.0,6961.0,113310
2020-07-12,7100.0,7100.0,7001.0,7038.0,7038.0,79071
2020-07-13,7070.0,7471.0,7063.0,7471.0,7471.0,334452
2020-07-14,7169.0,7196.0,7057.0,7109.0,7109.0,222360
2020-07-15,7270.0,7394.0,7250.0,7355.0,7355.0,182214
2020-07-16,7282.0,7305.0,7113.0,7160.0,7160.0,118604
2020-07-19,7320.0,7385.0,7294.0,7300.0,7300.0,59637
2020-07-20,7250.0,7470.0,7250.0,7455.0,7455.0,119882
2020-07-21,7541.0,7604.0,7510.0,7567.0,7567.0,196077
2020-07-22,7491.0,7830.0,7483.0,7749.0,7749.0,333005
2020-07-23,8000.0,8000.0,7822.0,7940.0,7940.0,286094
2020-07-26,7870.0,7909.0,7806.0,7866.0,7866.0,52185
2020-07-27,7959.0,8120.0,7948.0,8100.0,8100.0,223874
2020-07-28,8080.0,8080.0,7738.0,7848.0,7848.0,168060
2020-07-29,7918.0,7946.0,7085.0,7097.0,7097.0,696907
2020-08-02,7298.0,7443.0,7254.0,7394.0,7394.0,134706
2020-08-03,7500.0,7598.0,7241.0,7282.0,7282.0,224212
2020-08-04,7350.0,7470.0,7323.0,7440.0,7440.0,175932
2020-08-05,7400.0,7439.0,7280.0,7436.0,7436.0,163582
2020-08-06,7362.0,7362.0,7075.0,7125.0,7125.0,622932
2020-08-09,7146.0,7198.0,7135.0,7175.0,7175.0,41346
2020-08-10,7175.0,7195.0,7106.0,7191.0,7191.0,86399
2020-08-11,7230.0,7256.0,7140.0,7170.0,7170.0,139357
2020-08-12,7200.0,7229.0,7089.0,7138.0,7138.0,242140
2020-08-13,7190.0,7201.0,7094.0,7140.0,7140.0,214829
2020-08-16,7297.0,7350.0,7234.0,7330.0,7330.0,44045
2020-08-17,7330.0,7380.0,7285.0,7285.0,7285.0,122746
2020-08-18,7250.0,7269.0,7066.0,7084.0,7084.0,170744
2020-08-19,7030.0,7030.0,6890.0,6920.0,6920.0,164333
2020-08-20,6800.0,6805.0,6671.0,6719.0,6719.0,219035
2020-08-23,6700.0,6700.0,6625.0,6674.0,6674.0,97286
2020-08-24,6759.0,6777.0,6678.0,6777.0,6777.0,113599
2020-08-25,6811.0,6823.0,6748.0,6823.0,6823.0,103540
2020-08-26,6830.0,6905.0,6812.0,6903.0,6903.0,103061
2020-08-27,6895.0,6895.0,6614.0,6661.0,6661.0,344548
2020-08-30,6600.0,6634.0,6561.0,6605.0,6605.0,54882
2020-08-31,6605.0,6660.0,6515.0,6599.0,6599.0,117613
2020-09-01,6566.0,6639.0,6470.0,6639.0,6639.0,154436
2020-09-02,6725.0,6865.0,6700.0,6785.0,6785.0,165894
2020-09-03,6652.0,6681.0,6270.0,6499.0,6499.0,666225
2020-09-06,6150.0,6271.0,6000.0,6200.0,6200.0,131686
2020-09-07,6200.0,6292.0,6189.0,6262.0,6262.0,84854
2020-09-08,6317.0,6335.0,5977.0,6200.0,6200.0,194540
2020-09-09,6138.0,6281.0,6059.0,6193.0,6193.0,298449
2020-09-10,6150.0,6224.0,6026.0,6160.0,6160.0,275480
2020-09-13,6160.0,6244.0,6155.0,6210.0,6210.0,62389
2020-09-14,6344.0,6344.0,6215.0,6259.0,6259.0,156761
2020-09-15,6259.0,6427.0,6209.0,6423.0,6423.0,111133
2020-09-16,6400.0,6480.0,6391.0,6480.0,6480.0,82816
2020-09-17,6297.0,6400.0,6213.0,6384.0,6384.0,296717
2020-09-21,6330.0,6383.0,6209.0,6279.0,6279.0,157882
2020-09-22,6476.0,6519.0,6312.0,6388.0,6388.0,133303
2020-09-23,6480.0,6514.0,6348.0,6390.0,6390.0,331636
2020-09-24,6327.0,6327.0,6152.0,6216.0,6216.0,435696
2020-09-29,6380.0,6425.0,6293.0,6375.0,6375.0,241991
2020-09-30,6281.0,6375.0,6247.0,6375.0,6375.0,206481
2020-10-01,6250.0,6373.0,6214.0,6358.0,6358.0,307980
2020-10-04,6280.0,6357.0,6280.0,6331.0,6331.0,29769
2020-10-05,6360.0,6388.0,6300.0,6300.0,6300.0,51024
2020-10-06,6330.0,6393.0,6302.0,6370.0,6370.0,50235
2020-10-07,6370.0,6418.0,6300.0,6370.0,6370.0,82719
2020-10-08,6460.0,6463.0,6397.0,6441.0,6441.0,74156
2020-10-11,6700.0,6700.0,6611.0,6656.0,6656.0,68331
2020-10-12,6689.0,6800.0,6671.0,6754.0,6754.0,211313
2020-10-13,6754.0,6842.0,6733.0,6820.0,6820.0,127852
2020-10-14,6703.0,6819.0,6682.0,6682.0,6682.0,76222
2020-10-15,6611.0,6656.0,6539.0,6639.0,6639.0,90232
2020-10-18,6573.0,6580.0,6477.0,6487.0,6487.0,72056
2020-10-19,6550.0,6680.0,6549.0,6677.0,6677.0,116753
2020-10-20,6649.0,6751.0,6621.0,6698.0,6698.0,138470
2020-10-21,6698.0,6823.0,6632.0,6823.0,6823.0,151849
2020-10-22,6740.0,6812.0,6700.0,6783.0,6783.0,158096
2020-10-25,6783.0,6783.0,6719.0,6746.0,6746.0,52218
2020-10-26,6671.0,6672.0,6547.0,6550.0,6550.0,139649
2020-10-27,6998.0,7120.0,6963.0,7120.0,7120.0,306360
2020-10-28,7172.0,7204.0,6974.0,7050.0,7050.0,360491
2020-10-29,7080.0,7120.0,6901.0,7120.0,7120.0,415824
2020-11-01,7170.0,7219.0,7145.0,7180.0,7180.0,58536
2020-11-02,7182.0,7251.0,7144.0,7220.0,7220.0,155408
2020-11-03,7220.0,7343.0,7195.0,7297.0,7297.0,172151
2020-11-04,7297.0,7608.0,7297.0,7600.0,7600.0,301410
2020-11-05,7692.0,7711.0,7611.0,7705.0,7705.0,229197
2020-11-08,7570.0,7620.0,7555.0,7563.0,7563.0,59958
2020-11-09,7620.0,8000.0,7602.0,7890.0,7890.0,377787
2020-11-10,7740.0,7749.0,7510.0,7520.0,7520.0,182961
2020-11-11,7567.0,7754.0,7530.0,7670.0,7670.0,118562
2020-11-12,7674.0,8156.0,7430.0,7478.0,7478.0,590411
2020-11-15,7720.0,7830.0,7711.0,7818.0,7818.0,85337
2020-11-16,7852.0,7990.0,7808.0,7891.0,7891.0,238800
2020-11-17,8000.0,8087.0,7895.0,7950.0,7950.0,126379
2020-11-18,7920.0,7965.0,7878.0,7909.0,7909.0,112175
2020-11-19,7800.0,7845.0,7671.0,7722.0,7722.0,158261
